Player,Tm,Year,Rd,Pk,Age,Pos,College,From,To,G,WS,WS/48,BPM,VORP,MP,Pk_redraft_bpm,Pk_redraft_ws/48,Pk_redraft_vorp,Bust_steal
Eddie Lucas,UTA,1999,2,58,,,Virginia Polytechnic Institute and State University,,,,,,,,,58,58,58,0
Kenyon Martin,NJN,2000,1,1,22.186,F,University of Cincinnati,2001,2015,757,48.0,0.100,0.7,15.5,23134,4,7,3,-5.9
Stromile Swift,VAN,2000,1,2,20.225,F,Louisiana State University,2001,2009,547,21.3,0.095,-1.9,0.2,10804,17,8,17,-20.2
Darius Miles,LAC,2000,1,3,18.267,F,,2001,2009,446,9.5,0.039,-1.2,2.3,11730,13,31,13,-13.2
Marcus Fizer,CHI,2000,1,4,21.328,F,Iowa State University,2001,2006,289,2.7,0.022,-4.7,-4.1,6032,33,33,36,-19.0
Mike Miller,ORL,2000,1,5,20.135,F-G,University of Florida,2001,2016,1012,60.7,0.105,0.9,20.4,27661,2,5,2,8.9
DerMarr Johnson,ATL,2000,1,6,20.059,F,University of Cincinnati,2001,2008,344,6.4,0.052,-1.6,0.6,5930,15,27,15,-9.1
Chris Mihm,CHI,2000,1,7,20.353,C,University of Texas at Austin,2001,2009,436,13.3,0.073,-3.8,-4.1,8758,28,22,37,-13.0
Jamal Crawford,CLE,2000,1,8,20.105,G,University of Michigan,2001,2016,1100,57.3,0.081,-0.7,11.5,33967,10,15,5,5.1
Joel Przybilla,HOU,2000,1,9,20.267,C,University of Minnesota,2001,2013,592,23.0,0.094,-0.9,3.3,11733,12,10,11,-1.2
Keyon Dooling,ORL,2000,1,10,20.056,G,University of Missouri,2001,2013,728,18.5,0.063,-3.0,-3.6,14134,25,24,35,-7.9
Jerome Moiso,BOS,2000,1,11,22.019,F,University of California Los Angeles,2001,2005,145,2.1,0.074,-3.8,-0.6,1392,29,20,21,-3.9
Etan Thomas,DAL,2000,1,12,22.094,F,Syracuse University,2002,2011,409,14.9,0.101,-2.6,-1.0,7084,22,6,25,-3.8
Courtney Alexander,ORL,2000,1,13,23.068,G,California State University Fresno,2001,2003,187,4.1,0.048,-4.0,-2.1,4067,30,29,31,-4.4
Mateen Cleaves,DET,2000,1,14,22.300,G,Michigan State University,2001,2006,167,-0.8,-0.021,-6.3,-2.0,1863,36,38,30,-3.6
Jason Collier,MIL,2000,1,15,22.299,C,Georgia Institute of Technology,2001,2005,151,1.9,0.042,-6.3,-2.3,2178,37,30,32,-2.9
Hedo Turkoglu,SAC,2000,1,16,21.107,F,,2001,2015,997,63.3,0.114,1.2,21.4,26695,1,2,1,21.1
Desmond Mason,SEA,2000,1,17,22.266,F,Oklahoma State University,2001,2010,643,23.1,0.056,-2.4,-1.9,19641,20,26,29,-2.1
Quentin Richardson,LAC,2000,1,18,20.081,G,DePaul University,2001,2013,783,32.8,0.076,-0.3,8.9,20785,8,19,7,9.1
Jamaal Magloire,CHH,2000,1,19,22.044,C,University of Kentucky,2001,2012,680,27.7,0.091,-2.9,-3.3,14621,24,11,34,-3.0
Speedy Claxton,PHI,2000,1,20,22.057,G,Hofstra University,2002,2009,334,14.2,0.080,-0.7,2.8,8548,11,16,12,3.3
Morris Peterson,TOR,2000,1,21,22.312,F,Michigan State University,2001,2011,711,35.7,0.089,0.0,9.7,19366,7,12,6,10.3
Donnell Harvey,NYK,2000,1,22,19.311,F,University of Florida,2001,2005,205,4.7,0.069,-2.7,-0.6,3318,23,23,22,0.0
DeShawn Stevenson,UTA,2000,1,23,19.091,G,,2001,2013,824,12.1,0.032,-3.0,-4.6,18396,26,32,38,-3.8
Dalibor Bagaric,CHI,2000,1,24,20.147,C,,2001,2003,95,-0.9,-0.043,-6.8,-1.2,973,39,39,39,-3.8
Jake Tsakalidis,PHO,2000,1,25,21.024,C,,2001,2007,315,9.9,0.095,-3.1,-1.3,5005,27,9,27,-0.3
Mamadou N'Diaye,DEN,2000,1,26,25.019,C,Auburn University,2001,2005,69,1.8,0.101,-5.3,-0.7,858,40,40,40,-3.5
Primoz Brezec,IND,2000,1,27,20.275,C,,2002,2010,342,10.8,0.084,-2.5,-0.8,6192,21,14,23,0.5
Erick Barkley,POR,2000,1,28,22.133,G,St. John's University,2001,2002,27,0.2,0.027,-3.8,-0.1,266,41,41,41,-3.1
Mark Madsen,LAL,2000,1,29,24.158,F,Stanford University,2001,2009,453,8.2,0.074,-2.2,-0.2,5335,18,21,18,1.7
Marko Jaric,LAC,2000,2,30,21.265,G,,2003,2009,447,12.1,0.052,-0.5,4.3,11246,9,28,10,6.3
Dan Langhi,DAL,2000,2,31,22.218,F,Vanderbilt University,2001,2004,133,0.3,0.012,-6.8,-1.5,1253,38,35,28,0.6
A.J. Guyton,CHI,2000,2,32,22.142,G,Indiana University,2001,2003,80,0.3,0.010,-5.4,-1.1,1246,34,36,26,1.2
Jake Voskuhl,CHI,2000,2,33,22.245,C,University of Connecticut,2001,2009,450,11.6,0.087,-2.2,-0.3,6443,19,13,19,2.0
Khalid El-Amin,CHI,2000,2,34,21.070,G,University of Connecticut,2001,2001,50,0.6,0.030,-3.8,-0.4,936,42,42,42,-1.3
Mike Smith,WAS,2000,2,35,24.080,F,University of Louisiana at Monroe,2001,2001,17,-0.1,-0.033,-5.5,-0.2,180,43,43,43,-1.0
Soumaila Samake,NJN,2000,2,36,22.108,C,,2001,2003,47,0.3,0.046,-6.5,-0.3,303,44,44,44,-0.5
Eddie House,MIA,2000,2,37,22.051,G,Arizona State University,2001,2011,717,20.0,0.077,-1.5,1.6,12405,14,18,14,5.7
Eduardo Najera,HOU,2000,2,38,23.358,F,University of Oklahoma,2001,2012,619,24.7,0.106,0.3,6.4,11213,6,4,8,11.0
Lavor Postell,NYK,2000,2,39,22.128,G,St. John's University,2001,2003,61,-0.2,-0.025,-8.6,-0.7,446,45,45,45,0
Hanno Mottola,ATL,2000,2,40,23.298,C,University of Utah,2001,2002,155,0.9,0.019,-5.8,-2.3,2360,35,34,33,2.3
Chris Carrawell,SAS,2000,2,41,,,Duke University,,,,,,,,,46,46,46,0
Olumide Oyedeji,SEA,2000,2,42,19.053,C,,2001,2003,93,1.2,0.095,-4.7,-0.4,587,47,47,47,0
Michael Redd,MIL,2000,2,43,20.314,G,Ohio State University,2001,2012,629,55.9,0.134,0.9,14.9,20104,3,1,4,19.5
Brian Cardinal,DET,2000,2,44,23.063,F,Purdue University,2001,2012,456,15.4,0.114,0.7,4.5,6477,5,3,9,9.1
Jabari Smith,SAC,2000,2,45,23.142,C,Louisiana State University,2001,2005,108,1.3,0.058,-4.0,-0.5,1063,31,25,20,4.1
DeeAndre Hulett,TOR,2000,2,46,,,College of the Sequoias,,,,,,,,,48,48,48,0
Josip Sesar,SEA,2000,2,47,,,,,,,,,,,,49,49,49,0
Mark Karcher,PHI,2000,2,48,,,Temple University,,,,,,,,,50,50,50,0
Jason Hart,MIL,2000,2,49,22.066,G,Syracuse University,2001,2010,341,8.6,0.078,-1.7,0.3,5289,16,17,16,4.9
Kaniel Dickens,UTA,2000,2,50,21.348,F,University of Idaho,2004,2008,19,0.1,0.055,-5.0,-0.1,85,51,51,51,0
Igor Rakocevic,MIN,2000,2,51,22.097,G,,2003,2003,42,0.1,0.022,-7.1,-0.3,244,52,52,52,0
Ernest Brown,MIA,2000,2,52,21.048,C,Indian Hills Community College,2002,2002,3,-0.2,-0.349,-24.7,-0.1,21,53,53,53,0
Dan McClintock,DEN,2000,2,53,23.076,C,Northern Arizona University,2001,2001,6,0.0,0.007,-6.6,-0.1,58,54,54,54,0
Cory Hightower,SAS,2000,2,54,,,Indian Hills Community College,,,,,,,,,55,55,55,0
Chris Porter,GSW,2000,2,55,22.056,F,Auburn University,2001,2001,51,0.2,0.008,-4.6,-0.8,1147,32,37,24,3.8
Jaquay Walls,IND,2000,2,56,,,University of Colorado,,,,,,,,,56,56,56,0
Scoonie Penn,ATL,2000,2,57,,,Ohio State University,,,,,,,,,57,57,57,0
Pete Mickeal,DAL,2000,2,58,,,University of Cincinnati,,,,,,,,,58,58,58,0
Kwame Brown,WAS,2001,1,1,19.114,F,,2002,2013,607,20.8,0.074,-2.1,-0.4,13389,23,21,25,-52.2
Tyson Chandler,LAC,2001,1,2,18.273,C,,2002,2016,986,92.7,0.158,1.7,26.2,28074,5,2,5,-10.8
Pau Gasol,ATL,2001,1,3,20.361,F-C,,2002,2016,1055,130.6,0.168,3.5,51.8,37202,1,1,1,24.3
Eddy Curry,CHI,2001,1,4,18.209,C,,2002,2013,527,21.7,0.080,-3.5,-5.0,13109,30,18,36,-32.3
Jason Richardson,GSW,2001,1,5,20.163,G,Michigan State University,2002,2015,857,59.1,0.097,1.3,24.4,29241,7,13,7,-1.8
Shane Battier,MEM,2001,1,6,22.297,F,Duke University,2002,2014,977,75.7,0.121,2.9,37.0,30004,2,6,2,10.8
Eddie Griffin,NJN,2001,1,7,19.033,F,Seton Hall University,2002,2007,303,10.9,0.078,-1.0,1.7,6729,19,20,19,-22.7
DeSagana Diop,CLE,2001,1,8,19.153,C,,2002,2013,601,12.8,0.073,0.0,4.3,8403,11,23,18,-19.8
Rodney White,DET,2001,1,9,21.004,F,University of North Carolina at Charlotte,2002,2005,218,1.8,0.026,-3.8,-1.5,3354,34,33,35,-21.6
Joe Johnson,BOS,2001,1,10,20.003,G-F,University of Arkansas,2002,2016,1143,78.1,0.091,0.5,26.2,41186,9,14,6,10.5
Kedrick Brown,BOS,2001,1,11,20.106,G,Okaloosa-Walton Community College,2002,2005,143,3.0,0.074,-2.2,-0.1,1935,24,22,23,-13.6
Vladimir Radmanovic,SEA,2001,1,12,20.225,F,,2002,2013,737,26.5,0.079,-0.1,7.7,16164,12,19,14,-1.8
Richard Jefferson,HOU,2001,1,13,21.011,F,University of Arizona,2002,2016,1082,80.8,0.119,0.4,20.1,32516,10,8,9,11.7
Troy Murphy,GSW,2001,1,14,21.061,F,University of Notre Dame,2002,2013,729,50.3,0.121,-0.1,9.5,19921,13,7,12,1.8
Steven Hunter,ORL,2001,1,15,19.244,C,DePaul University,2002,2010,400,10.6,0.085,-2.8,-1.3,5993,27,16,33,-8.5
Kirk Haston,CHH,2001,1,16,22.115,F,Indiana University,2002,2003,27,-0.5,-0.197,-13.5,-0.4,134,37,37,37,-10.7
Michael Bradley,TOR,2001,1,17,22.076,F,Villanova University,2002,2006,173,2.0,0.047,-3.7,-0.9,2016,33,28,29,-6.3
Jason Collins,HOU,2001,1,18,22.213,C,Stanford University,2002,2014,735,20.1,0.064,-2.0,0.2,14974,22,24,22,-4.1
Zach Randolph,POR,2001,1,19,19.351,F,Michigan State University,2002,2016,984,76.4,0.117,-0.3,13.5,31322,16,9,11,11.8
Brendan Haywood,CLE,2001,1,20,21.218,C,University of North Carolina,2002,2015,816,43.8,0.113,-0.2,8.4,18680,15,12,13,7.4
Joseph Forte,BOS,2001,1,21,20.101,G,University of North Carolina,2002,2003,25,-0.4,-0.166,-10.1,-0.3,125,38,38,38,-5.5
Jeryl Sasser,ORL,2001,1,22,22.140,G,Southern Methodist University,2002,2003,82,0.7,0.032,-2.9,-0.2,1061,28,32,24,-0.4
Brandon Armstrong,HOU,2001,1,23,21.016,G,Pepperdine University,2002,2004,108,-0.6,-0.039,-8.6,-1.2,699,39,39,39,-4.9
Raul Lopez,UTA,2001,1,24,21.078,G,,2004,2005,113,2.1,0.047,-3.5,-0.8,2135,31,29,27,-0.6
Gerald Wallace,SAC,2001,1,25,18.344,F,University of Alabama,2002,2015,832,59.7,0.116,2.4,27.3,24731,4,10,4,27.7
Samuel Dalembert,PHI,2001,1,26,20.053,C,Seton Hall University,2002,2015,886,51.3,0.114,-0.7,7.2,21646,18,11,15,7.8
Jamaal Tinsley,MEM,2001,1,27,23.125,G,Iowa State University,2002,2014,547,17.2,0.057,-0.4,5.7,14443,17,26,16,6.5
Tony Parker,SAS,2001,1,28,19.046,G,,2002,2016,1080,105.9,0.147,1.1,27.5,34618,8,3,3,28.3
Trenton Hassell,CHI,2001,2,29,22.121,G,Austin Peay State University,2002,2010,644,13.8,0.041,-2.3,-1.3,16278,25,31,34,-0.4
Gilbert Arenas,GSW,2001,2,30,19.177,G,University of Arizona,2002,2012,552,51.3,0.127,2.9,24.1,19351,3,5,8,25.2
Omar Cook,ORL,2001,2,31,19.155,G,St. John's University,2004,2005,22,-0.1,-0.021,-6.1,-0.2,213,40,40,40,-3.9
Will Solomon,MEM,2001,2,32,22.348,G,Clemson University,2002,2009,115,0.0,0.000,-4.7,-1.1,1584,35,35,30,0.0
Terence Morris,ATL,2001,2,33,22.173,F,University of Maryland,2002,2006,139,1.0,0.025,-3.6,-0.8,1934,32,34,28,0.5
Brian Scalabrine,NJN,2001,2,34,23.107,F,University of Southern California,2002,2012,520,7.6,0.054,-2.6,-1.1,6772,26,27,31,0.2
Jeff Trepagnier,CLE,2001,2,35,21.357,G,University of Southern California,2002,2004,31,-0.2,-0.038,-4.8,-0.2,270,41,41,41,-3.5
Damone Brown,PHI,2001,2,36,22.005,F,Syracuse University,2002,2005,39,-0.7,-0.100,-10.3,-0.7,351,42,42,42,0.0
Mehmet Okur,DET,2001,2,37,22.038,F-C,,2003,2012,634,54.7,0.142,1.4,15.7,18429,6,4,10,20.7
Michael Wright,NYK,2001,2,38,,,University of Arizona,,,,,,,,,43,43,43,0
Earl Watson,SEA,2001,2,39,22.021,G,University of California Los Angeles,2002,2014,878,19.2,0.047,-1.8,1.0,19494,20,30,20,6.0
Jamison Brewer,IND,2001,2,40,20.225,G,Auburn University,2002,2005,54,0.0,-0.001,-4.4,-0.3,468,44,44,44,0
Bobby Simmons,SEA,2001,2,41,21.030,G-F,DePaul University,2002,2012,466,20.1,0.084,-0.1,5.4,11513,14,17,17,10.4
Eric Chenowith,NYK,2001,2,42,,,University of Kansas,,,,,,,,,45,45,45,0
Kyle Hill,DAL,2001,2,43,,,Eastern Illinois University,,,,,,,,,46,46,46,0
Sean Lampley,CHI,2001,2,44,21.303,F,University of California,2003,2004,45,1.1,0.096,-3.2,-0.2,550,47,47,47,0
Loren Woods,MIN,2001,2,45,23.012,F-C,University of Arizona,2002,2008,215,3.1,0.062,-2.9,-0.6,2428,29,25,26,4.4
Ousmane Cisse,DEN,2001,2,46,,,,,,,,,,,,48,48,48,0
Antonis Fotsis,MEM,2001,2,47,20.092,F,,2002,2002,28,0.1,0.017,-4.9,-0.2,320,49,49,49,0
Ken Johnson,MIA,2001,2,48,23.152,F-C,Ohio State University,2003,2003,16,0.0,-0.002,-10.0,-0.3,156,50,50,50,0
Ruben Boumtje-Boumtje,POR,2001,2,49,23.044,C,Georgetown University,2002,2004,44,0.2,0.027,-4.5,-0.2,276,51,51,51,0
Alton Ford,PHO,2001,2,50,20.034,F,University of Houston,2002,2004,73,0.8,0.074,-6.5,-0.6,524,52,52,52,0
Andre Hutson,MIL,2001,2,51,,,Michigan State University,,,,,,,,,53,53,53,0
Jarron Collins,UTA,2001,2,52,22.213,F-C,Stanford University,2002,2011,542,15.7,0.088,-1.8,0.5,8542,21,15,21,5.5
Kenny Satterfield,DAL,2001,2,53,20.083,G,University of Cincinnati,2002,2003,75,-1.1,-0.051,-6.1,-1.1,1062,36,36,32,3.9
Maurice Jeffers,SAC,2001,2,54,,,Saint Louis University,,,,,,,,,54,54,54,0
Robertas Javtokas,SAS,2001,2,55,21.104,C,,,,,,,,,,55,55,55,0
Alvin Jones,PHI,2001,2,56,22.297,F,Georgia Institute of Technology,2002,2002,23,0.1,0.034,-4.5,-0.1,126,56,56,56,0
Bryan Bracey,SAS,2001,2,57,,,University of Oregon,,,,,,,,,57,57,57,0
Yao Ming,HOU,2002,1,1,21.292,C,,2003,2011,486,65.9,0.200,2.3,17.0,15818,1,1,3,-6.4
Jay Williams,CHI,2002,1,2,20.294,G,Duke University,2003,2003,75,0.8,0.020,-2.2,-0.1,1961,20,33,18,-22.2
Mike Dunleavy,GSW,2002,1,3,21.289,F-G,Duke University,2003,2016,933,57.0,0.103,0.4,15.9,26499,6,7,7,-1.1
Drew Gooden,MEM,2002,1,4,20.280,F,University of Kansas,2003,2016,790,43.9,0.105,-1.5,2.3,20127,14,6,13,-14.5
Nikoloz Tskitishvili,DEN,2002,1,5,19.078,F,,2003,2006,172,-1.6,-0.039,-6.3,-2.1,1946,36,36,32,-18.7
Dajuan Wagner,CLE,2002,1,6,19.147,G,University of Memphis,2003,2007,103,0.0,0.000,-5.6,-2.0,2202,35,35,31,-18.1
Nene Hilario,NYK,2002,1,7,19.291,F-C,,2003,2016,804,65.2,0.138,2.1,23.4,22735,2,4,1,7.5
Chris Wilcox,LAC,2002,1,8,19.301,F,University of Maryland,2003,2013,628,26.9,0.103,-1.6,1.2,12474,15,8,15,-14.7
Amar'e Stoudemire,PHO,2002,1,9,19.227,F-C,,2003,2016,846,92.5,0.169,0.5,16.8,26254,5,2,4,9.6
Caron Butler,MIA,2002,1,10,22.110,F,University of Connecticut,2003,2016,881,50.9,0.086,0.2,15.9,28333,7,13,8,10.1
Jared Jeffries,WAS,2002,1,11,20.218,F,Indiana University,2003,2013,629,13.1,0.046,-0.9,3.8,13579,10,25,11,0.0
Melvin Ely,LAC,2002,1,12,24.061,C,California State University Fresno,2003,2014,375,4.0,0.032,-3.6,-2.4,6005,31,30,34,-5.2
Marcus Haislip,MIL,2002,1,13,21.191,F,University of Tennessee,2003,2010,89,0.5,0.026,-6.2,-0.9,854,37,37,37,-5.5
Fred Jones,IND,2002,1,14,23.113,G-F,University of Oregon,2003,2009,430,16.5,0.077,-0.9,2.8,10299,11,15,12,1.5
Bostjan Nachbar,HOU,2002,1,15,21.363,F,,2003,2008,317,8.7,0.074,-2.3,-0.4,5628,21,17,23,-1.6
Jiri Welsch,PHI,2002,1,16,22.156,G,,2003,2006,247,5.7,0.059,-2.1,-0.1,4596,18,21,19,-0.8
Juan Dixon,WAS,2002,1,17,23.266,G,University of Maryland,2003,2009,436,6.1,0.034,-3.0,-2.1,8509,29,29,33,-2.6
Curtis Borchardt,ORL,2002,1,18,21.291,C,Stanford University,2004,2005,83,1.0,0.041,-2.4,-0.1,1117,25,26,20,0.0
Ryan Humphrey,UTA,2002,1,19,22.343,F,University of Notre Dame,2003,2005,85,-0.4,-0.027,-7.6,-1.1,772,38,38,38,-3.1
Kareem Rush,TOR,2002,1,20,21.244,G,University of Missouri,2003,2010,346,1.7,0.013,-4.1,-3.2,5956,32,34,36,-3.1
Qyntel Woods,POR,2002,1,21,21.135,F,Northeast Mississippi Community College,2003,2006,167,1.4,0.032,-3.0,-0.5,2060,30,31,27,-0.4
Casey Jacobsen,PHO,2002,1,22,21.104,G-F,Stanford University,2003,2008,287,6.2,0.056,-2.3,-0.4,5320,22,24,24,-0.3
Tayshaun Prince,DET,2002,1,23,22.124,F,University of Kentucky,2003,2016,1017,63.1,0.096,0.1,16.6,31576,8,12,5,17.0
Nenad Krstic,NJN,2002,1,24,18.341,C,,2005,2011,419,21.5,0.098,-2.6,-1.5,10547,27,9,29,-1.1
Frank Williams,DEN,2002,1,25,22.127,G,University of Illinois at Urbana-Champaign,2003,2005,86,0.1,0.003,-5.0,-0.7,952,39,39,39,-2.8
John Salmons,SAS,2002,1,26,22.202,G,University of Miami,2003,2015,895,33.9,0.069,-1.0,5.8,23672,12,18,10,6.2
Chris Jefferies,LAL,2002,1,27,22.139,G-F,California State University Fresno,2003,2004,72,-0.5,-0.030,-6.3,-0.9,861,40,40,40,-2.7
Dan Dickau,SAC,2002,1,28,23.289,G,Gonzaga University,2003,2008,300,5.9,0.061,-2.3,-0.4,4617,23,20,25,0.3
Steve Logan,GSW,2002,2,29,,,University of Cincinnati,,,,,,,,,41,41,41,-1.7
Roger Mason,CHI,2002,2,30,21.294,G,University of Virginia,2003,2014,518,13.0,0.068,-1.8,0.5,9147,17,19,17,2.0
Robert Archibald,MEM,2002,2,31,22.094,F,University of Illinois at Urbana-Champaign,2003,2004,44,0.0,-0.004,-5.0,-0.2,328,42,42,42,-1.2
Vincent Yarbrough,DEN,2002,2,32,21.102,G-F,University of Tennessee,2003,2003,59,1.0,0.035,-2.4,-0.1,1381,26,28,21,2.0
Dan Gadzuric,MIL,2002,2,33,24.150,C,University of California Los Angeles,2003,2012,527,15.8,0.097,-1.3,1.3,7793,13,10,14,3.4
Carlos Boozer,CLE,2002,2,34,20.223,F-C,Duke University,2003,2015,861,80.3,0.143,1.2,22.1,26901,3,3,2,24.5
Milos Vujanic,NYK,2002,2,35,,,,,,,,,,,,43,43,43,-0.6
David Andersen,ATL,2002,2,36,22.008,C,,2010,2011,103,1.5,0.059,-4.2,-0.7,1264,33,22,28,2.5
Tito Maddox,HOU,2002,2,37,21.024,G,California State University Fresno,2003,2003,9,0.0,-0.011,-2.2,0.0,35,44,44,44,0
Rod Grizzard,WAS,2002,2,38,,,University of Alabama,,,,,,,,,45,45,45,0
Juan Carlos Navarro,WAS,2002,2,39,22.018,G,,2008,2008,82,1.4,0.031,-2.3,-0.1,2117,24,32,22,3.1
Mario Kasun,LAC,2002,2,40,22.087,C,,2005,2006,73,0.8,0.069,-5.9,-0.6,569,46,46,46,0
Ronald Murray,MIL,2002,2,41,22.338,G,Shaw University,2003,2010,487,8.5,0.037,-2.9,-2.6,11077,28,27,35,0.6
Jason Jennings,POR,2002,2,42,,,Arkansas State University,,,,,,,,,47,47,47,0
Lonny Baxter,CHI,2002,2,43,23.156,F,University of Maryland,2003,2006,162,2.9,0.075,-5.1,-1.5,1884,34,16,30,1.7
Sam Clancy,PHI,2002,2,44,,,University of Southern California,,,,,,,,,48,48,48,0
Matt Barnes,MEM,2002,2,45,22.114,F,University of California Los Angeles,2004,2016,855,40.8,0.097,1.1,16.1,20190,4,11,6,19.3
Jamal Sampson,UTA,2002,2,46,19.047,F-C,University of California,2003,2007,72,1.4,0.106,-2.1,0.0,631,49,49,49,0
Chris Owens,MIL,2002,2,47,23.123,F,University of Texas at Austin,2003,2003,1,0.0,-0.032,-10.7,0.0,6,50,50,50,0
Peter Fehse,SEA,2002,2,48,,,,,,,,,,,,51,51,51,0
Darius Songaila,BOS,2002,2,49,24.138,F,Wake Forest University,2004,2011,495,15.9,0.083,-1.7,0.7,9229,16,14,16,3.9
Federico Kammerichs,POR,2002,2,50,,,,,,,,,,,,52,52,52,0
Marcus Taylor,MIN,2002,2,51,,,Michigan State University,,,,,,,,,53,53,53,0
Rasual Butler,MIA,2002,2,52,23.040,G-F,La Salle University,2003,2016,809,20.8,0.058,-2.1,-0.4,17219,19,23,26,2.8
Tamar Slay,NJN,2002,2,53,22.090,G,Marshall University,2003,2005,66,-0.3,-0.029,-6.0,-0.5,517,54,54,54,0
Mladen Sekularac,DAL,2002,2,54,,,,,,,,,,,,55,55,55,0
Luis Scola,SAS,2002,2,55,22.062,F,,2008,2016,707,44.9,0.116,-0.5,7.2,18540,9,5,9,10.4
Randy Holcomb,SAS,2002,2,56,22.328,F,San Diego State University,2006,2006,4,0.0,0.150,-1.8,0.0,11,56,56,56,0
Corsley Edwards,SAC,2002,2,57,23.119,F,Central Connecticut State University,2005,2005,10,0.1,0.026,-5.2,-0.1,110,57,57,57,0
LeBron James,CLE,2003,1,1,18.182,F-G,,2004,2016,987,192.5,0.240,9.2,108.6,38478,1,1,1,0.0
Darko Milicic,DET,2003,1,2,18.010,F-C,,2004,2013,468,7.1,0.040,-1.6,0.8,8638,23,34,24,-55.6
Carmelo Anthony,DEN,2003,1,3,19.032,F,Syracuse University,2004,2016,902,92.3,0.135,1.5,28.6,32796,3,6,3,0.0
Chris Bosh,TOR,2003,1,4,19.098,F-C,Georgia Institute of Technology,2004,2016,893,106.0,0.159,1.4,27.5,31936,4,3,4,0.0
Dwyane Wade,MIA,2003,1,5,21.165,G,Marquette University,2004,2016,855,113.8,0.179,5.3,56.4,30560,2,2,2,32.8
Chris Kaman,LAC,2003,1,6,21.064,C,Central Michigan University,2004,2016,735,24.6,0.060,-2.0,0.0,19642,25,27,25,-19.8
Kirk Hinrich,CHI,2003,1,7,22.180,G,University of Kansas,2004,2016,879,52.5,0.093,0.2,14.7,27015,12,14,8,-4.7
T.J. Ford,MIL,2003,1,8,20.099,G,University of Texas at Austin,2004,2012,429,16.9,0.068,-0.8,3.6,11882,18,22,20,-11.1
Mike Sweetney,NYK,2003,1,9,20.249,F,Georgetown University,2004,2007,233,7.8,0.103,-2.1,-0.1,3610,26,12,26,-11.5
Jarvis Hayes,WAS,2003,1,10,21.326,F,University of Georgia,2004,2010,427,10.2,0.049,-2.9,-2.2,9898,30,30,32,-12.5
Mickael Pietrus,GSW,2003,1,11,21.144,G-F,,2004,2013,557,19.7,0.079,-0.9,3.4,11950,20,20,21,-6.7
Nick Collison,SEA,2003,1,12,22.248,F,University of Kansas,2005,2016,875,44.0,0.115,0.5,11.4,18400,11,9,9,2.5
Marcus Banks,MEM,2003,1,13,21.224,G,University of Nevada Las Vegas,2004,2011,348,6.6,0.057,-2.4,-0.6,5571,28,28,27,-8.7
Luke Ridnour,SEA,2003,1,14,22.138,G,University of Oregon,2004,2015,830,36.0,0.080,-0.9,5.8,21623,21,18,17,-2.1
Reece Gaines,ORL,2003,1,15,22.175,G,University of Louisville,2004,2006,71,-0.6,-0.049,-7.7,-0.9,605,37,37,37,-12.9
Troy Bell,BOS,2003,1,16,22.233,G,Boston College,2004,2004,6,-0.2,-0.326,-14.4,-0.1,34,38,38,38,-12.8
Zarko Cabarkapa,PHO,2003,1,17,22.041,F,,2004,2006,150,1.1,0.035,-5.2,-1.3,1550,36,36,31,-7.1
David West,NOH,2003,1,18,22.306,F,Xavier University,2004,2016,893,79.7,0.140,1.4,23.6,27291,5,4,5,19.1
Sasha Pavlovic,UTA,2003,1,19,19.228,G-F,,2004,2013,567,7.0,0.038,-3.4,-3.2,8888,32,35,34,-7.2
Dahntay Jones,BOS,2003,1,20,22.186,G-F,Duke University,2004,2016,623,9.9,0.048,-3.6,-4.1,9787,33,31,35,-7.7
Boris Diaw,ATL,2003,1,21,21.076,F-C,,2004,2016,991,50.5,0.088,0.9,19.8,27485,8,16,6,16.4
Zoran Planinic,NJN,2003,1,22,20.292,G,,2004,2006,148,1.5,0.046,-4.2,-0.9,1584,35,32,29,-2.8
Travis Outlaw,POR,2003,1,23,18.285,F,,2004,2014,622,16.5,0.061,-2.3,-0.9,13026,27,26,30,-2.2
Brian Cook,LAL,2003,1,24,22.209,F,University of Illinois at Urbana-Champaign,2004,2012,421,10.2,0.086,-2.4,-0.6,5649,29,17,28,-1.4
Carlos Delfino,DET,2003,1,25,20.306,G,,2005,2013,507,22.5,0.093,0.8,8.1,11580,9,15,13,8.1
Ndudi Ebi,MIN,2003,1,26,19.012,F,,2004,2005,19,0.1,0.051,-5.4,-0.1,86,39,39,39,-5.8
Kendrick Perkins,MEM,2003,1,27,18.232,C,,2004,2016,781,27.9,0.078,-0.4,7.0,17147,14,21,15,7.6
Leandro Barbosa,SAS,2003,1,28,20.215,G,,2004,2016,783,36.8,0.101,-0.2,7.9,17423,13,13,14,8.5
Josh Howard,DAL,2003,1,29,23.064,F-G,Wake Forest University,2004,2013,507,38.0,0.119,0.6,10.3,15350,10,7,10,11.2
Maciej Lampe,NYK,2003,2,30,18.145,F,,2004,2006,64,-0.2,-0.014,-8.7,-1.1,632,40,40,40,-5.0
Jason Kapono,CLE,2003,2,31,22.147,F,University of California Los Angeles,2004,2012,509,10.3,0.055,-3.0,-2.3,9068,31,29,33,-1.0
Luke Walton,LAL,2003,2,32,23.095,F,University of Arizona,2004,2013,564,13.5,0.067,-1.2,1.9,9685,22,24,22,4.1
Jerome Beasley,MIA,2003,2,33,23.045,F,University of North Dakota,2004,2004,2,0.0,-0.117,-22.4,0.0,5,41,41,41,-3.6
